tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
EA,1011817,0.0230549319070708,5.258184286006878e-119,0.006834032361159,6.226684368805897e-12,0.2193024259736614,-13.760122273368996,2.275884272060373
EQIX,506956,0.0339097887065988,7.298622646325255e-129,0.0095254573306826,1.18242315634045e-11,-9.826974718068737,-27.483726236437956,0.0633166496524858
EXPE,1027265,0.0255492015551502,6.772124544039667e-148,0.011308465464646,2.0486438563682197e-30,-16.664846121686587,7.431390862405336,1.2606304640957386
FNF,630754,0.0309532060858431,1.6610168194378619e-133,0.0083739624441207,2.916898596831266e-11,8.738614153667864,-29.608553239532142,2.359685387121667
GDS,678298,0.0304057947941463,1.8538632242791462e-138,0.0043661546681515,0.0003232406295974,-54.03412902011656,22.829911028358808,-1.8045512774195165
GM,1456770,0.021248036843298,4.387548990630238e-145,0.0049687781790748,2.007678873681493e-09,-13.436394361143728,2.878811385259384,1.8454185229263205
HCA,683641,0.0241930668620239,4.849309628231486e-89,0.0032607628178831,0.0070159707721104,-4.545047967812106,-12.354460792100689,2.5691015858156274
HWC,507986,0.0374188590353842,8.278860470331117e-157,0.0089455503158971,1.8190801011051277e-10,108.61673930871748,-181.950222644414,1.197282919135214
INVH,1064460,0.0204859391715385,3.5520941323849614e-99,-0.0006607952861995,0.4953910884061114,-18.38425738268212,13.22154505938743,3.809728026869237
JPM,1763083,0.0067292379354406,4.062461818588188e-19,0.0061103383168725,4.920382598438699e-16,0.2334936082184439,-6.148074121475945,-0.283704652805417
KO,1436138,0.0113150457702043,6.889414034173842e-42,0.0026850304077453,0.0012921572561749,1.5310656480405422,-7.443844773457346,-0.3760565918264433
LNC,877510,0.0249871619176989,3.343181960643943e-121,0.0015734481040477,0.1404992949180574,-145.7170715019767,-6.656226360812497,3.829880230027012
MAT,853413,0.0327595557551865,2.722233132229015e-201,0.0034029059849793,0.0016687133789141,-27.536035796248758,16.841888884228208,5.279130302646931
MET,1377308,0.0176817700404382,1.1587128801742922e-95,0.0001334042891723,0.8755904575352036,13.920677647273616,-21.089804576528383,1.991250361803233
MRNA,1276050,0.0431837949382073,0.0,0.0525843434549426,0.0,-158.35915980893787,100.09484444939407,8.796538509640346
NEM,1622823,0.0060466098286708,1.3306975299255201e-14,-0.0033329323725089,2.1778239854781985e-05,-41.38096835115287,26.79374798709034,0.2696053527745469
NOV,962555,0.0226942797247745,7.520888764496818e-110,-0.0084023426138061,1.670161970516417e-16,-69.95189581185922,29.33970757119795,2.1316533845717545
NVS,998115,0.0150425146405339,4.7295231580256565e-51,0.0047201728041042,2.4083109344485467e-06,1.8191220679647664,-11.468037616822874,-0.4254849166387606
PAAS,1052576,0.0200712873891005,3.092736931328621e-94,-0.0120152343858801,6.443411729538781e-35,-98.17160825528656,41.80787036758238,-3.173507294805963
PENN,1205118,0.0321032767724436,3.272382417070932e-272,0.0076638097132621,3.9869619806085474e-17,-62.16784494824894,25.07124769246712,3.716838008745901
PLD,1242320,0.0224809686727497,1.348306057037983e-138,0.0045187367603088,4.739281377503232e-07,-33.85718271953425,14.29811228426451,0.8376700000824402
PYPL,1500539,0.020432680612321,2.7483072945556965e-138,0.0406922416825839,0.0,-47.428345389196025,26.886268479311333,2.794777032684041
RIVN,1180979,0.0416470611101259,0.0,0.0334225473894616,5.17803938922585e-289,-113.61193736374962,59.83425256288664,4.334329120143413
SBUX,1486666,0.0290561113775992,4.894244519442389e-275,0.0242086139111511,1.5207834155280418e-191,-3.821703045822284,0.0395158512129261,0.8309440345729358
SNOW,1374637,0.0253441987435419,4.295369269622662e-194,0.0165794365869838,3.5510169167371113e-84,-120.75181126849724,63.59012892607786,-0.1699084148044373
STLD,893056,0.026991008035122,1.4673311997443357e-143,0.0061732203220103,5.416545692466227e-09,-0.2277513332114905,-10.785739279829668,0.5549303967291728
S,1181077,0.0316238590139594,5.653898756191757e-259,-0.0055242700233461,1.929058310122147e-09,-120.0927397770601,81.81251105321951,8.544109419133923
TLT,1245767,0.0173330103463524,2.140204228068411e-83,0.0179496131011728,2.681508483645692e-89,-20.21075381170448,16.301420361541926,1.2231748124801645
TRP,773095,0.0307917003504956,1.683301306862068e-161,-0.0045504955886655,6.305540652226318e-05,-7.850076678638919,-5.454505574995647,0.0092222955264385
TTWO,847459,0.0278412018428657,6.238075340320463e-145,0.0073004000225258,1.8091811802909477e-11,9.143118274965602,-23.03624468481623,0.0850700298785726
UPST,1237911,0.0316236779503611,2.4938843731326637e-271,0.0159889638330373,8.347286235800607e-71,-228.94316135754107,80.4869375325128,13.387641748193191
VOD,443289,0.0279818851628703,1.7055745950250262e-77,0.0097801989311016,7.42609326826516e-11,-155.05622238300134,82.41224351171473,-1.3952637860936596
WBD,798889,0.0437378658468489,0.0,0.0256888803519897,1.0525351697606691e-116,-256.58916395734724,127.15017955947503,1.3464290622705188
W,1259004,0.0316467020728633,2.5787022015967808e-276,0.0161373453896045,2.749526482342332e-73,-93.50117330077474,33.00511560072259,1.7523551183823003
ZS,1024277,0.0270264308290302,8.796667743601927e-165,0.0271281351303075,5.209145459869916e-166,-36.89045760879389,19.72655415640953,1.1485042955214158
AAPL,1029460,0.0016463408339901,0.094837379642118,0.0013832253687627,0.1604822881778317,-1.099409215071467,-0.8396806079971529,0.3421897850407396
ADM,1094658,0.0240035293734845,3.202705495246719e-139,-0.0042705855447453,7.889748279873058e-06,-11.106142258449244,5.518560955036745,1.2538099930724886
AG,758756,0.0294073040561888,8.856263352129768e-145,-0.0326481526787926,5.425184047141017e-178,-527.4201634002766,246.58306532634387,-8.747154763872192
AMT,867669,0.0301623205501171,9.213793397479747e-174,0.0098903728721323,3.1722092915684264e-20,-24.866567517404945,11.197548710405483,3.0301102312106867
