tk,n,flow_oc,p_oc,flow_cc,dir_oc,mean_dir,frac_short
KIM,949,-0.07614081216323564,0.01898137047031975,-0.05635969492254164,0.002208427489832566,-0.7197049525816649,0.8598524762908325
KKR,945,-0.060330184347110745,0.06376270871546719,-0.0637916423184345,,-1.0,1.0
KMI,952,-0.002155292004541849,0.9470488941439165,0.04784868668323146,-0.06880245816369879,-0.9264705882352942,0.9632352941176471
KMX,944,0.05687930582537171,0.08069083599947637,0.1815598931534086,-0.01641136535339984,-0.9449152542372882,0.972457627118644
KO,911,-0.03402737157736429,0.30492574062715005,-0.051862348704268146,0.032418246409596466,-0.969264544456641,0.9846322722283205
KR,863,-0.14858369239420977,1.1708474282886912e-05,-0.07756665389022323,-0.04455295473224569,-0.2885283893395133,0.6442641946697567
KSS,943,-0.03657354480284394,0.26186358931238574,-0.030794123648041894,0.008246902334372133,-0.9957582184517497,0.9978791092258749
LAC,1000,-0.037118041222422994,0.24091148475913135,-0.2832650038134575,,-1.0,1.0
LC,972,0.06281165318918645,0.050266750849918364,0.017298544024540674,-0.023959470547409708,-0.9650205761316872,0.9825102880658436
LCID,935,0.1260786395817373,0.0001108705359629589,-0.02569461512334018,0.018674099300677007,-0.6021390374331551,0.8010695187165775
LEN,942,-0.08796433525428647,0.006903653875592756,-0.0018445352964705213,-0.05569537211943409,-0.8768577494692145,0.9384288747346072
LI,940,0.20224277417822337,3.9203972765700575e-10,0.09368678664170403,-0.007750490917644569,-0.9914893617021276,0.9957446808510638
LIN,932,0.004994259882544238,0.8789783471294773,0.04367789898664323,0.07092460048766923,-0.34763948497854075,0.6738197424892703
LNC,939,0.00964547610413308,0.7678559820295062,-0.015799006040628893,0.01227013912808153,-0.20340788072417465,0.6017039403620873
LOGI,952,0.035889770022429254,0.2686129867310891,0.043900065882168604,0.026321007804669613,-0.9705882352941176,0.9852941176470589
LOW,935,-0.04764204875783087,0.14548512672929956,-0.05534819140391188,-0.005366090276834694,-0.9721925133689839,0.986096256684492
LULU,948,0.06092280029604711,0.06078498889251217,0.09333451531851567,0.03847847538318692,-0.9620253164556962,0.9810126582278481
LUV,916,0.058541338147926496,0.07658033435970185,0.05459859097053385,0.01875227442029019,-0.9126637554585153,0.9563318777292577
LVS,929,-0.023259343685877117,0.4788989925241395,-0.08352528752639828,-0.010577058423673881,-0.9655543595263725,0.9827771797631862
LYFT,943,-0.029852401860433433,0.3598217237226398,0.07370937108218942,,-1.0,1.0
